pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
107.7375,-63.925,0.0,top,A1,,,ADXL345,~,smt
168.455,-147.87,0.0,top,B1,,,Buzzer_12x9.5RM7.6,~,tht
66.875,-144.5,0.0,top,D1,,,TFT_display,~,smt
150.35,-149.73,0.0,top,H1,,,Hall_sensor,~,smt
171.97,-119.23,0.0,top,L1,,,Logic_convertor,~,smt
100.415,-110.75,0.0,top,M3,,,ESP32,~,smt
136.095,-138.65,-90.0,top,P1,,,PZEM_004T,~,smt
68.655,-90.98,0.0,top,P2,,,Power_supply,~,smt
183.85,-134.81,-90.0,top,Q1,,,TO-220-3_Vertical,IRLZ34N,tht
100.415,-108.5,180.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht
133.3,-153.375,180.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4.7K,tht
186.81,-125.5,180.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,100ohm,tht
186.81,-121.45,180.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht
179.27,-106.98,0.0,top,R5,,,Relay,~,smt
100.31,-113.0,180.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht
100.31,-118.0,180.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht
100.31,-122.5,180.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht
43.5,-93.23,0.0,top,SW1,,,PinSocket_1x02_P2.54mm_Vertical,SW_Push,tht
43.5,-105.23,0.0,top,SW2,,,PinSocket_1x02_P2.54mm_Vertical,SW_Push,tht
43.5,-116.23,0.0,top,SW3,,,PinSocket_1x02_P2.54mm_Vertical,SW_Push,tht
43.5,-128.23,0.0,top,SW4,,,PinSocket_1x02_P2.54mm_Vertical,SW_Push,tht
129.04,-155.0,180.0,top,T1,,,DS18B20,~,smt
